PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-35	2-(2-Phenylethynyl)pyridine	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	C1(C#CC2=CC=CC=C2)=NC=CC=C1	InChI=1S/C13H9N/c1-2-6-12(7-3-1)9-10-13-8-4-5-11-14-13/h1-8,11H
UALIB-36	1-(Phenylethynyl)naphthalene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	C1(C#CC2=CC=CC=C2)=C3C=CC=CC3=CC=C1	InChI=1S/C18H12/c1-2-7-15(8-3-1)13-14-17-11-6-10-16-9-4-5-12-18(16)17/h1-12H
UALIB-37	2-(Phenylethynyl)thiophene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	C1(C#CC2=CC=CC=C2)=CC=CS1	InChI=1S/C12H8S/c1-2-5-11(6-3-1)8-9-12-7-4-10-13-12/h1-7,10H
UALIB-38	3-(2-Phenylethynyl)thiophene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	C1(C#CC2=CC=CC=C2)=CSC=C1	InChI=1S/C12H8S/c1-2-4-11(5-3-1)6-7-12-8-9-13-10-12/h1-5,8-10H
UALIB-39	3-(Phenylethynyl)benzothiophene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	C1(C#CC2=CC=CC=C2)=CSC3=CC=CC=C13	InChI=1S/C16H10S/c1-2-6-13(7-3-1)10-11-14-12-17-16-9-5-4-8-15(14)16/h1-9,12H
UALIB-40	1-(4-Methoxyphenyl)-1-hexyne	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CCCCC#CC1=CC=C(OC)C=C1	InChI=1S/C13H16O/c1-3-4-5-6-7-12-8-10-13(14-2)11-9-12/h8-11H,3-5H2,1-2H3
UALIB-41	1-(2-Methylphenyl)-1-hexyne	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CCCCC#CC1=CC=CC=C1C	InChI=1S/C13H16/c1-3-4-5-6-10-13-11-8-7-9-12(13)2/h7-9,11H,3-5H2,1-2H3
UALIB-42	6-(4-Methoxyphenyl)-hex-5-ynenitrile	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	N#CCCCC#CC1=CC=C(OC)C=C1	InChI=1S/C13H13NO/c1-15-13-9-7-12(8-10-13)6-4-2-3-5-11-14/h7-10H,2-3,5H2,1H3
UALIB-43	3-(4-Methoxyphenyl)propyn-1-ol	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	OC#CCC1=CC=C(OC)C=C1	InChI=1S/C10H10O2/c1-12-10-6-4-9(5-7-10)3-2-8-11/h4-7,11H,3H2,1H3
UALIB-44	1,2-Bis(4-methoxyphenyl)ethyne	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=C(C#CC2=CC=C(OC)C=C2)C=C1	InChI=1S/C16H14O2/c1-17-15-9-5-13(6-10-15)3-4-14-7-11-16(18-2)12-8-14/h5-12H,1-2H3
UALIB-45	4-Methoxybiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=C(C2=CC=CC=C2)C=C1	InChI=1S/C13H12O/c1-14-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-10H,1H3
UALIB-46	4-Methylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=C(C2=CC=CC=C2)C=C1	InChI=1S/C13H12/c1-11-7-9-13(10-8-11)12-5-3-2-4-6-12/h2-10H,1H3
